seed,protocol,embedding_mode,concentration_mode,method,alpha,far_lambda,completed_steps,terminal_class,task_performance_collapse,support_or_temperature_boundary,nan_inf_numerical_failure,final_hidden_optimal_probability,final_positive_support_probability,final_expected_semantic_reward,final_normalized_semantic_extrapolation,final_entropy_mean,final_effective_support_mean,final_effective_support_p05,final_concentration_mean,final_concentration_min,final_concentration_max
0,E6-A,aligned,fixed,positive_only,0.0,0.0,2000,persistent_drift_or_inconclusive,False,False,False,0.1407686322927475,0.590020477771759,0.8685452938079834,-0.1550353318452835,2.286789655685425,9.963854789733887,7.710663318634033,8.0,8.0,8.0
0,E6-A,aligned,fixed,local_only,0.1,0.0,2000,persistent_drift_or_inconclusive,False,False,False,0.1636425405740738,0.5733050107955933,0.8800936937332153,0.024826372042298317,2.279604911804199,9.889518737792969,7.646135330200195,8.0,8.0,8.0
0,E6-A,aligned,fixed,local_only,0.25,0.0,2000,persistent_drift_or_inconclusive,False,False,False,0.19692620635032654,0.5198410153388977,0.8937786221504211,0.35685399174690247,2.2700374126434326,9.786940574645996,7.548950672149658,8.0,8.0,8.0
0,E6-A,aligned,fixed,local_only,0.5,0.0,2000,persistent_drift_or_inconclusive,False,False,False,0.21090102195739746,0.3494592607021332,0.8956096172332764,1.0294222831726074,2.300318717956543,10.093026161193848,7.668734073638916,8.0,8.0,8.0
0,E6-A,aligned,fixed,local_only,0.75,0.0,2000,persistent_drift_or_inconclusive,False,False,False,0.12744435667991638,0.14753329753875732,0.8485751152038574,1.6668734550476074,2.350275993347168,10.656866073608398,7.754462718963623,8.0,8.0,8.0
0,E6-A,aligned,fixed,local_only,1.0,0.0,2000,persistent_drift_or_inconclusive,False,False,False,0.04051319137215614,0.03764896094799042,0.7534350752830505,2.060389757156372,2.3198554515838623,10.359612464904785,7.365087985992432,8.0,8.0,8.0
0,E6-B,aligned,learnable,positive_only,0.5,1.0,2000,persistent_drift_or_inconclusive,False,False,False,0.1562093049287796,0.6566781997680664,0.882379412651062,-0.1558694839477539,2.001560688018799,7.537649631500244,5.409810543060303,10.293031692504883,8.693622589111328,11.163858413696289
0,E6-B,aligned,learnable,local_only,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.4818062484264374,0.32045280933380127,0.9456325769424438,1.022637128829956,0.1936677247285843,1.2650814056396484,1.0000004768371582,156.96234130859375,130.90142822265625,165.4838409423828
0,E6-B,aligned,learnable,uncontrolled,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.4181511402130127,0.5572425723075867,0.9437376260757446,0.3839775323867798,0.20014482736587524,1.2672057151794434,1.0000008344650269,153.84097290039062,150.16981506347656,155.35952758789062
0,E6-B,aligned,learnable,near_zero,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.24630297720432281,0.7457764744758606,0.9266909956932068,-0.007797208148986101,0.19411830604076385,1.262265920639038,1.0000005960464478,155.23724365234375,152.90293884277344,156.3531951904297
0,E6-B,aligned,learnable,far_zero,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.4818062484264374,0.32045280933380127,0.9456325769424438,1.022637128829956,0.1936677247285843,1.2650814056396484,1.0000004768371582,156.96234130859375,130.90142822265625,165.4838409423828
0,E6-B,aligned,learnable,far_cap,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.4940493702888489,0.47883206605911255,0.9493775963783264,0.4973122477531433,0.24090076982975006,1.3293229341506958,1.000003695487976,141.99571228027344,139.11973571777344,143.2154083251953
0,E6-B,aligned,learnable,budget_matched_global,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.3400224447250366,0.6438156962394714,0.9354701042175293,0.20468121767044067,0.23623383045196533,1.3238928318023682,1.0000063180923462,135.37049865722656,132.5115966796875,136.70321655273438
0,E6-C,aligned,learnable,positive_only,0.5,1.0,2000,persistent_drift_or_inconclusive,False,False,False,0.1562093049287796,0.6566781997680664,0.882379412651062,-0.1558694839477539,2.001560688018799,7.537649631500244,5.409810543060303,10.293031692504883,8.693622589111328,11.163858413696289
0,E6-C,aligned,learnable,local_only,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.4818062484264374,0.32045280933380127,0.9456325769424438,1.022637128829956,0.1936677247285843,1.2650814056396484,1.0000004768371582,156.96234130859375,130.90142822265625,165.4838409423828
0,E6-C,aligned,learnable,uncontrolled,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.4181511402130127,0.5572425723075867,0.9437376260757446,0.3839775323867798,0.20014482736587524,1.2672057151794434,1.0000008344650269,153.84097290039062,150.16981506347656,155.35952758789062
0,E6-C,aligned,learnable,far_cap,0.5,1.0,2000,support_or_temperature_boundary,False,True,False,0.4940493702888489,0.47883206605911255,0.9493775963783264,0.4973122477531433,0.24090076982975006,1.3293229341506958,1.000003695487976,141.99571228027344,139.11973571777344,143.2154083251953
0,E6-C,shuffled,learnable,positive_only,0.5,1.0,2000,persistent_drift_or_inconclusive,False,False,False,0.020425153896212578,0.09267442673444748,0.518095076084137,-0.07735580205917358,3.928530216217041,51.27753448486328,39.344547271728516,1.4049137830734253,0.561610996723175,3.421703815460205
